plateifu,stellar_pa,halpha_pa,classification,STEL_QUAL,GAS_QUAL,STEL_FEATURE,GAS_FEATURE,GAS_NOTES
7990-6101,96.5,94.0,3,2,2,0,0,0
7990-6102,209.5,210.5,3,2,2,0,0,0
7990-6103,200.5,198.5,3,2,2,0,0,0
7990-6104,224.0,223.0,3,2,2,0,0,0
7990-9101,24.5,22.5,3,2,2,0,0,0
7991-12701,180.0,186.0,3,2,2,0,0,0
7991-12703,139.0,136.5,3,2,2,0,0,0
7991-12704,171.5,175.5,3,2,2,0,0,0
7991-12705,197.0,197.5,3,2,2,0,0,0
7991-1902,307.0,305.0,3,2,2,0,0,0
7991-3702,56.0,63.5,3,2,2,0,0,0
7991-3704,161.5,156.5,3,2,2,0,0,0
7991-6103,357.0,358.0,3,2,2,0,0,0
7991-6104,156.0,165.0,3,2,2,0,0,0
7991-9101,10.5,9.5,3,2,2,0,0,0
7992-1901,84.0,78.5,3,2,2,0,0,0
7992-1902,40.0,35.5,3,2,2,0,0,0
7992-3702,349.5,350.0,3,2,2,0,0,0
7992-6101,189.0,188.5,3,2,2,0,0,0
7992-6104,5.5,6.5,3,2,2,0,0,0
7992-9102,216.5,216.5,3,2,2,0,0,0
7993-12701,37.5,36.0,3,2,2,0,0,0
7993-12702,17.0,18.5,3,2,2,0,0,0
7993-12704,130.0,126.5,3,2,2,0,0,0
7993-12705,300.5,305.5,3,2,2,0,0,0
7993-3701,292.0,288.0,3,2,2,0,0,0
7993-3704,177.5,176.5,3,2,2,0,0,0
7993-6103,77.0,73.5,3,2,2,0,0,0
7993-6104,294.5,293.5,3,2,2,0,0,0
8077-12702,281.5,286.0,3,2,2,0,0,0
8077-12703,316.5,316.0,3,2,2,0,0,0
8077-12704,350.5,352.5,3,2,2,0,0,0
8077-12705,200.0,200.0,3,2,2,0,0,0
8077-3701,262.5,258.0,3,2,2,0,0,0
8077-3702,207.0,30.0,3,2,2,0,0,0
8077-3704,27.5,202.5,3,2,2,0,0,0
8077-6101,94.5,96.5,3,2,2,0,0,0
8077-6102,318.0,334.5,3,2,2,0,0,0
8077-6103,164.5,155.5,3,2,2,0,0,0
8077-6104,19.0,17.5,3,2,2,0,0,0
8077-9101,49.0,51.0,3,2,2,0,0,0
8078-12701,196.0,194.5,3,2,2,0,0,0
8078-12703,7.5,5.5,3,2,2,0,0,0
8078-12704,48.0,50.5,3,2,2,0,0,0
8078-1902,255.0,255.0,3,2,2,0,0,0
8078-3701,10.5,5.0,3,2,2,0,0,0
8078-3704,194.0,186.5,3,2,2,0,0,0
8078-6103,168.0,167.0,3,2,2,0,0,0
8078-6104,356.5,345.5,3,2,2,0,0,0
8078-9101,28.5,37.5,3,2,2,0,0,0
8078-9102,224.5,224.0,3,2,2,0,0,0
8079-12701,273.0,271.5,3,2,2,0,0,0
8079-12702,69.0,64.0,3,2,2,0,0,0
8079-12703,231.0,235.0,3,2,2,0,0,0
8079-12704,187.5,184.0,3,2,2,0,0,0
8079-12705,352.0,356.0,3,2,2,0,0,0
8079-6103,87.0,87.0,3,2,2,0,0,0
8079-9102,273.0,277.5,3,2,2,0,0,0
8080-12701,4.5,6.5,3,2,2,0,0,0
8080-12702,215.5,205.0,3,2,2,0,0,0
8080-12703,248.0,247.0,3,2,2,0,0,0
8080-3701,98.5,109.0,3,2,2,0,0,0
8080-3703,133.5,122.5,3,2,2,0,0,0
8080-3704,24.0,154.0,3,2,2,0,0,0
8080-6101,10.5,5.0,3,2,2,0,0,0
8080-6103,244.0,240.5,3,2,2,0,0,0
8080-6104,213.0,214.0,3,2,2,0,0,0
8080-9101,30.0,39.5,3,2,2,0,0,0
8081-12703,94.0,98.5,3,2,2,0,0,0
8081-12704,226.5,229.0,3,2,2,0,0,0
8081-1901,348.5,348.0,3,2,2,0,0,0
8081-1902,151.0,168.5,3,2,2,0,0,0
8081-3703,314.0,309.5,3,2,2,0,0,0
8081-3704,200.0,198.0,3,2,2,0,0,0
8081-6101,80.0,70.0,3,2,2,0,0,0
8081-6102,344.0,339.0,3,2,2,0,0,0
8081-6103,204.0,197.0,3,2,2,0,0,0
8081-9101,293.0,295.0,3,2,2,0,0,0
8081-9102,98.5,99.5,3,2,2,0,0,0
8082-12701,10.0,10.5,3,2,2,0,0,0
8082-12702,250.0,250.0,3,2,2,0,0,0
8082-6102,279.0,194.5,3,2,2,0,0,0
8083-12701,257.0,251.0,3,2,2,0,0,0
8083-12702,52.5,53.0,3,2,2,0,0,0
8083-12704,167.5,166.0,3,2,2,0,0,0
8083-12705,327.0,322.0,3,2,2,0,0,0
8083-3702,241.5,213.0,3,2,2,0,0,0
8083-3703,286.0,277.0,3,2,2,0,0,0
8083-6101,324.0,311.5,3,2,2,0,0,0
8083-6102,245.5,243.5,3,2,2,0,0,0
8083-6103,336.5,258.5,3,2,2,0,0,0
8084-12702,54.0,61.0,3,2,2,0,0,0
8084-12703,45.5,44.5,3,2,2,0,0,0
8084-12704,323.5,326.0,3,2,2,0,0,0
8084-12705,62.0,61.0,3,2,2,0,0,0
8084-3701,240.0,247.0,3,2,2,0,0,0
8084-3702,20.5,20.5,3,2,2,0,0,0
8084-6101,65.5,63.0,3,2,2,0,0,0
8084-6104,198.0,200.0,3,2,2,0,0,0
8084-9102,77.0,73.5,3,2,2,0,0,0
8085-12701,49.0,42.5,3,2,2,0,0,0
8085-12704,209.5,208.5,3,2,2,0,0,0
8085-3701,269.0,274.0,3,2,2,0,0,0
8085-3704,286.0,286.5,3,2,2,0,0,0
8085-6101,244.0,89.0,3,2,2,0,0,0
8086-12705,182.5,193.5,3,2,2,0,0,0
8086-1901,162.0,23.5,3,2,2,0,0,0
8086-3702,3.0,3.0,3,2,2,0,0,0
8086-3703,331.0,327.0,3,2,2,0,0,0
8086-3704,227.5,222.5,3,2,2,0,0,0
8086-9101,266.0,266.5,3,2,2,0,0,0
8086-9102,56.0,53.0,3,2,2,0,0,0
8097-12701,182.0,184.5,3,2,2,0,0,0
8097-12703,184.0,178.5,3,2,2,0,0,0
8097-12704,194.5,210.0,3,2,2,0,0,0
8097-1901,171.5,178.0,3,2,2,0,0,0
8097-3704,153.0,145.5,3,2,2,0,0,0
8097-6101,288.5,285.0,3,2,2,0,0,0
8097-9102,152.5,148.0,3,2,2,0,0,0
8131-12701,99.0,95.0,3,2,2,0,0,0
8131-12703,276.0,271.0,3,2,2,0,0,0
8131-12704,181.0,180.0,3,2,2,0,0,0
8131-3701,234.0,235.0,3,2,2,0,0,0
8131-6101,130.5,127.5,3,2,2,0,0,0
8131-6104,202.0,195.5,3,2,2,0,0,0
8131-9102,311.5,309.5,3,2,2,0,0,0
8132-12702,8.0,10.5,3,2,2,0,0,0
8132-12703,136.0,135.5,3,2,2,0,0,0
8132-12704,359.0,358.0,3,2,2,0,0,0
8132-12705,245.5,245.0,3,2,2,0,0,0
8132-1902,345.5,340.0,3,2,2,0,0,0
8132-3702,208.5,235.0,3,2,2,0,0,0
8132-3704,65.5,132.5,3,2,2,0,0,0
8132-6102,98.0,108.0,3,2,2,0,0,0
8132-9101,44.5,53.5,3,2,2,0,0,0
8133-12705,316.0,312.5,3,2,2,0,0,0
8133-3701,280.5,287.5,3,2,2,0,0,0
8133-3702,86.0,79.0,3,2,2,0,0,0
8133-6101,295.0,285.5,3,2,2,0,0,0
8133-9101,86.0,83.0,3,2,2,0,0,0
8134-12702,25.5,27.0,3,2,2,0,0,0
8134-12704,43.0,43.0,3,2,2,0,0,0
8134-12705,124.5,127.5,3,2,2,0,0,0
8134-1901,334.5,332.5,3,2,2,0,0,0
8134-6102,92.0,87.5,3,2,2,0,0,0
8134-6103,272.5,296.5,3,2,2,0,0,0
8134-9102,218.5,220.0,3,2,2,0,0,0
8135-12701,247.0,245.0,3,2,2,0,0,0
8135-12702,314.5,312.0,3,2,2,0,0,0
